milk,country,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
4,27,61,0,160,10,0,81,299,1,0
6,52,52,0,93,7,0,541,303,0,0
4,74,47,0,93,7,0,429,132,1,0
13,77,52,0,113,7,5,598,181,0,0
13,50,48,0,94,7,8,163,87,1,0
4,4,52,0,113,7,0,536,303,1,0
4,30,24,0,62,3,0,44,285,1,0
4,77,52,0,93,7,15,594,285,1,0
4,67,47,0,285,7,1,596,250,1,0
13,50,14,0,160,7,15,390,80,1,0
8,52,54,0,93,9,15,142,115,0,0
18,77,2,0,100,9,15,515,309,0,0
4,68,62,0,66,7,16,441,191,0,0
4,40,61,0,171,7,4,230,237,0,0
13,77,61,0,140,6,8,190,311,1,0
18,77,48,0,135,10,4,334,302,1,0
13,77,48,0,101,6,15,209,78,1,0
4,35,13,0,160,10,4,588,302,1,0
4,35,73,0,110,9,15,122,155,1,0
18,18,40,0,285,7,11,562,0,0,0
18,35,62,0,279,7,4,596,191,0,0
4,35,68,0,93,7,15,210,241,0,0
4,50,48,0,93,10,11,294,127,1,0
4,52,61,0,67,7,8,357,39,0,0
4,35,48,0,176,10,5,164,30,1,0
18,63,71,0,105,7,15,204,87,0,0
17,74,33,0,159,6,0,227,88,1,1
14,35,19,0,106,9,15,479,309,1,0
5,28,60,0,219,7,2,179,0,0,0
4,9,62,0,279,10,11,536,304,0,0
4,77,48,0,93,7,4,299,304,1,0
18,66,62,0,250,7,15,546,310,0,0
13,35,61,0,93,7,4,441,75,0,0
0,52,61,0,171,6,15,302,49,1,0
4,31,48,0,177,10,4,210,5,1,0
4,77,42,0,94,7,11,520,127,1,0
4,77,52,0,93,7,8,326,285,1,0
4,77,52,0,180,7,11,516,285,1,0
4,67,61,0,160,7,15,93,54,0,0
4,70,40,0,127,10,8,45,304,1,0
18,52,48,0,278,7,8,441,309,0,0
9,52,34,0,199,10,8,501,304,0,0
4,52,61,0,67,7,14,67,41,0,0
4,52,61,0,93,5,15,64,11,0,0
14,35,48,0,93,7,11,592,285,0,0
4,40,80,0,93,7,15,435,127,1,0
4,40,52,0,93,11,11,568,0,1,0
4,67,39,0,93,3,4,562,304,0,0
19,52,39,0,238,7,8,590,304,0,0
4,35,61,0,193,10,4,461,181,0,0
13,18,41,0,83,10,11,439,218,0,0
13,52,62,0,171,7,11,468,299,0,0
13,30,47,0,160,10,8,241,213,0,0
19,52,61,0,272,7,14,408,11,0,0
13,18,68,0,171,7,11,304,181,0,0
13,18,61,0,160,7,15,594,181,0,0
13,14,61,0,93,9,15,254,181,0,0
4,14,68,0,93,2,8,441,105,1,0
4,77,49,0,109,9,8,210,75,0,0
4,50,52,0,93,7,0,598,309,1,0
6,52,38,0,194,10,8,566,304,0,0
18,36,80,0,290,7,15,331,181,1,0
4,35,61,0,279,9,11,584,290,0,0
4,12,73,0,176,2,15,248,145,0,0
4,77,42,0,113,7,11,146,127,1,0
13,77,42,0,67,2,8,210,236,1,0
4,40,80,0,93,7,4,385,216,1,0
4,40,80,0,93,7,4,290,299,1,0
4,40,80,0,93,7,4,264,141,1,0
4,35,80,0,152,1,4,210,9,0,0
13,35,47,0,250,5,15,48,307,0,0
4,4,0,0,180,5,14,491,263,1,0
18,13,71,0,285,6,7,495,118,1,0
13,77,48,0,102,9,15,388,32,1,0
13,35,64,0,160,10,11,363,7,0,0
13,77,48,0,93,11,4,300,228,1,0
4,40,49,0,118,6,4,127,228,0,0
4,31,49,0,94,7,11,197,304,0,0
2,52,48,0,93,7,4,218,263,1,0
13,77,48,0,119,6,4,306,78,1,0
13,35,80,0,93,5,11,546,145,0,0
4,77,69,0,166,9,15,377,304,0,0
4,31,39,0,19,7,4,116,294,0,0
4,52,48,0,161,7,8,412,282,0,0
4,30,46,0,93,7,11,336,285,1,0
4,33,63,0,93,7,4,156,296,1,0
4,77,67,0,160,9,15,553,299,1,0
4,33,33,0,160,7,15,597,78,0,0
6,18,80,0,171,7,15,304,256,0,0
4,35,67,0,145,10,9,382,285,0,0
4,61,47,0,93,7,4,210,0,0,0
9,77,49,0,93,7,4,380,211,0,0
5,77,62,0,160,6,4,270,264,1,0
19,40,47,0,148,9,11,286,0,0,0
19,52,14,0,33,9,15,104,151,1,0
4,18,42,0,101,7,11,289,299,0,0
13,50,48,0,292,10,15,359,95,1,0
18,50,49,0,12,7,11,19,290,1,0
4,40,68,0,160,6,8,247,268,0,0
9,70,61,0,160,10,11,279,10,0,0
1,52,48,0,90,11,8,582,128,1,0
4,77,62,0,176,7,16,563,304,1,0
4,30,38,0,93,7,4,81,127,1,0
4,35,61,0,17,5,15,566,191,0,0
4,14,62,0,179,10,4,155,165,0,0
4,70,52,0,128,5,11,590,66,0,0
18,70,74,0,152,2,11,210,97,1,0
18,70,61,0,176,10,14,63,272,1,0
5,77,42,0,127,7,4,301,109,0,0
18,67,49,0,10,0,8,488,40,1,0
18,35,62,0,9,7,14,33,228,0,0
4,52,62,0,93,7,15,54,307,0,0
13,77,8,0,116,9,4,250,233,0,0
4,35,48,0,176,10,15,164,30,1,0
13,35,61,0,114,6,4,410,190,0,0
4,77,61,0,120,9,11,295,133,0,0
4,11,58,0,203,10,14,398,302,0,0
4,77,52,0,93,7,14,238,290,0,0
13,77,48,0,40,7,8,81,49,0,0
4,35,62,0,93,10,15,359,284,0,0
4,52,62,0,67,7,8,380,127,1,0
18,74,39,0,254,7,6,73,205,1,0
4,52,48,0,42,7,2,217,195,1,0
4,31,21,0,93,7,3,266,299,1,0
13,77,48,0,93,7,8,441,161,1,0
4,4,21,0,22,11,3,246,0,1,0
4,71,3,0,285,6,8,373,5,1,0
13,70,38,0,19,7,10,0,243,0,0
4,9,61,0,196,7,15,265,229,0,0
4,52,47,0,250,7,4,62,181,0,0
18,77,48,0,225,7,15,440,268,1,0
9,35,44,0,58,7,4,37,256,0,0
4,31,48,2,276,5,4,259,304,1,0
4,77,42,0,189,9,4,430,284,0,0
18,4,76,0,93,7,0,448,132,0,0
13,77,52,0,220,7,11,526,181,1,0
18,73,21,0,208,7,11,531,304,1,0
4,4,68,0,93,6,0,112,285,1,0
4,4,61,0,147,10,16,596,0,1,0
4,40,58,0,250,2,5,598,304,0,0
13,50,62,0,93,7,15,54,108,1,0
13,35,61,0,93,7,15,210,117,0,0
14,77,48,0,289,8,8,329,181,1,0
4,10,77,0,50,10,6,457,284,0,0
4,6,38,0,160,10,11,588,304,0,0
4,35,48,0,93,7,16,307,113,0,0
4,40,68,0,160,7,11,210,66,0,0
